date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:03	70166/70166	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202023%2010:56:06%20GMT	https://www.ballerine.com/	D:/watan.ai/www.ballerine.com/index.html	(from )
13:56:03	42/42	---M-Z	200	added ('OK')	text/plain	date:Sun,%2024%20Sep%202023%2010:56:05%20GMT	https://www.ballerine.com/robots.txt		(from )
13:56:03	323161/323161	---M-Z	200	added ('OK')	text/css	etag:%2207caba3429063515489852881d3d004f%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/css/ballerine.webflow.fcf5c17d5.css	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/css/ballerine.webflow.fcf5c17d5.css	(from https://www.ballerine.com/)
13:56:04	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/watan.ai/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.ballerine.com/)
13:56:05	16434/16434	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20Sep%202023%2010:56:08%20GMT	https://use.typekit.net/cpz8tkt.js	D:/watan.ai/use.typekit.net/cpz8tkt.js	(from https://www.ballerine.com/)
13:56:05	590/590	---M--	200	added ('OK')	image/png	etag:%222167fff59bddea4501f5f5cb00db84a2%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/640066ba1d854aa392f26462_fav.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/640066ba1d854aa392f26462_fav.png	(from https://www.ballerine.com/)
13:56:05	5011/5011	---M--	200	added ('OK')	image/png	etag:%22b81111fd5ef0628217d3b45459c69729%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/640066f74ae3950adcc5aefa_webclip.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/640066f74ae3950adcc5aefa_webclip.png	(from https://www.ballerine.com/)
13:56:06	19806/19806	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265081f97-4d5e%22	https://buttons.github.io/buttons.js	D:/watan.ai/buttons.github.io/buttons.js	(from https://www.ballerine.com/)
13:56:07	2681/2681	---M--	200	added ('OK')	image/png	etag:%22c86d0c6f096bc34f4b3fbe66f13510a3%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/646a23850847ecf19cb22783_noam%20avatar.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/646a23850847ecf19cb22783_noam%20avatar.png	(from https://www.ballerine.com/)
13:56:07	2403/2403	---M--	200	added ('OK')	image/png	etag:%220067809ef308b1d8c350c23081e9eb1a%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f6264dc2cc3bd650d4f6ab_vera.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f6264dc2cc3bd650d4f6ab_vera.png	(from https://www.ballerine.com/)
13:56:07	4251/4251	---M--	200	added ('OK')	image/png	etag:%22d94e466945d28f82b7b8fd957957daf1%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f62714217be8e2a5257f22_money%202020.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f62714217be8e2a5257f22_money%202020.png	(from https://www.ballerine.com/)
13:56:07	3906/3906	---M--	200	added ('OK')	image/png	etag:%22249da1a17fee94d6df3328d71730063a%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f626dbc2cc3b1784d502b3_sp%20global.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/63f626dbc2cc3b1784d502b3_sp%20global.png	(from https://www.ballerine.com/)
13:56:08	2981/2981	---M--	200	added ('OK')	image/png	etag:%22287690ea5b69cdc850f943ed88b6e4a8%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472424741d34df768fe27_63f40bee4744d591e05ade60_Frame%2056973%201.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472424741d34df768fe27_63f40bee4744d591e05ade60_Frame%2056973%201.png	(from https://www.ballerine.com/)
13:56:09	7825/7825	---M--	200	added ('OK')	image/png	etag:%22c6528c110fbf7c8e023b6328aa4480e5%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64747243eec19d97a6f422fb_63f40bee4744d591e05ade60_Frame%2056973%202.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64747243eec19d97a6f422fb_63f40bee4744d591e05ade60_Frame%2056973%202.png	(from https://www.ballerine.com/)
13:56:09	5362/5362	---M--	200	added ('OK')	image/png	etag:%22724ece629cb4026d26d08d12d1a5c4ad%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/6474724276590e82e09ee197_63f40bee4744d591e05ade60_Frame%2056973%203.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/6474724276590e82e09ee197_63f40bee4744d591e05ade60_Frame%2056973%203.png	(from https://www.ballerine.com/)
13:56:10	7207/7207	---M--	200	added ('OK')	image/png	etag:%2249b1e817d0233b72aba6470be260b1c9%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472425739d23f87cfa8d1_63f40bee4744d591e05ade60_Frame%2056973%204.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472425739d23f87cfa8d1_63f40bee4744d591e05ade60_Frame%2056973%204.png	(from https://www.ballerine.com/)
13:56:10	586/586	---M--	200	added ('OK')	image/png	etag:%22bddf8f1c14ca5e3627896acfe3692462%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472424a0547694b58d8cb_63f40bee4744d591e05ade60_Frame%2056973%205.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/647472424a0547694b58d8cb_63f40bee4744d591e05ade60_Frame%2056973%205.png	(from https://www.ballerine.com/)
13:56:10	9908/9908	---M--	200	added ('OK')	image/png	etag:%223610071437c7b7232c90aac3774d9a14%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/6474724288727267a002561e_63f40bee4744d591e05ade60_Frame%2056973%206.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/6474724288727267a002561e_63f40bee4744d591e05ade60_Frame%2056973%206.png	(from https://www.ballerine.com/)
13:56:11	14506/14506	---M--	200	added ('OK')	image/png	etag:%22d6d340bc8fae2dc9d0cf897270e29f4e%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64747242ea6ad38a8d8c268e_63f40bee4744d591e05ade60_Frame%2056973%207.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64747242ea6ad38a8d8c268e_63f40bee4744d591e05ade60_Frame%2056973%207.png	(from https://www.ballerine.com/)
13:56:13	652525/652525	---M--	200	added ('OK')	image/png	etag:%2293f0f5a1d98191cd32aadfbaa2d4f923%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/646777ac9a5998a3188dd918_Group%2057032.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/646777ac9a5998a3188dd918_Group%2057032.png	(from https://www.ballerine.com/)
13:56:13	630719/630719	---M--	200	added ('OK')	image/png	etag:%226c0fc89a54bba78db29081e59f5bcb44%22	https://uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64677e6f51fc9ba4fb3d0878_Group%2057035.png	D:/watan.ai/uploads-ssl.webflow.com/62a3bad46800eb4715b2faf1/64677e6f51fc9ba4fb3d0878_Group%2057035.png	(from https://www.ballerine.com/)
